"id","nome"
1,"Tranferência - Vista"
2,"Depósito - Vista"
3,"Boleto - Vista"
4,"Cartão Master - Vencimento"
5,"Cartão Master 2 vezes"
6,"Cartão Master 3 vezes"
7,"Cartão Master 4 vezes"
8,"Cartão Master 5 vezes"
9,"Cartão Master 10 vezes"
10,"Cartão Visa - Vencimento"
11,"Cartão Visa 2 vezes"
12,"Cartão Visa 3 vezes"
13,"Cartão Visa 4 vezes"
14,"Cartão Visa 5 vezes"
15,"Cartão Visa 10 vezes"
16,"Cartão American - Vencimento"
17,"Cartão American 5 vezes"
18,"Cartão American 10 vezes"
19,"Cartão American 12 vezes"
20,"Cartão Dinners 2 vezes"
21,"Cartão Dinners 3 vezes"
22,"Cartão Dinners 4 vezes"
23,"Pay Pall - Vista"
24,"Pay Pall - 5 vezes"
25,"Pay Pall - 12 vezes"
26,"Pag Seguro Web - Vista"
27,"Cheque - Vista"
